taxa,wall_type,marine
Eggerelloides.scaber,agglutinated,1
Haplophragmoides.wilberti,agglutinated,0
Jadammina.macrescens,agglutinated,0
Textularia.agglutinans,agglutinated,1
Textularia.bocki,agglutinated,1
Textularia.calva,agglutinated,1
Textularia.tenuissima,agglutinated,1
Textularia.sp.,agglutinated,1
Trochammina.inflata,agglutinated,0
Adelosina.bicornis,porcellanous,1
Adelosina.laevigata,porcellanous,1
Adelosina.mediterranensis,porcellanous,1
Adelosina.sp.,porcellanous,1
Cornuloculina.sp.,porcellanous,1
Cornuspira.incerta,porcellanous,1
Cornuspira.involvens,porcellanous,1
Lachlanella.undulata,porcellanous,1
Massilina.secans,porcellanous,1
Miliolinella.subrotunda,porcellanous,1
Miliolid.undetermined,porcellanous,1
Pyrgo.inornata,porcellanous,1
Pyrgo.sp.,porcellanous,1
Quinqueloculina.depressa,porcellanous,1
Quinqueloculina.lata,porcellanous,1
Quinqueloculina.longirostra,porcellanous,1
Quinqueloculina.oblonga,porcellanous,1
Quinqueloculina.seminula,porcellanous,0
Quinqueloculina.stelligera,porcellanous,0
Quinqueloculina.vulgaris,porcellanous,1
Quinqueloculina.sp.1,porcellanous,1
Quinqueloculina.sp.2,porcellanous,1
Triloculina.dubia,porcellanous,1
Triloculina.marioni,porcellanous,1
Triloculina.trigonula,porcellanous,1
Triloculina.sp,porcellanous,1
Triloculina.rotunda,porcellanous,1
Amphicoryna.scalaris,hyaline,1
Acervulina.inhaerens,hyaline,1
Ammonia.tepida,hyaline,0
Ammonia.beccarii,hyaline,1
Astacolus.crepidulus,hyaline,1
Asterigerinata.mamilla,hyaline,1
Aubignyna.perlucida,hyaline,1
Bolivina.difformis,hyaline,1
Bolivina.alata,hyaline,1
Bolivina.dilatata,hyaline,1
Bolivina.pseudoplicata,hyaline,1
Bolivina.striatula,hyaline,1
Bolivinellina.pseudopunctata,hyaline,1
Brizalina.spathulata,hyaline,1
Brizalina.iraensis,hyaline,1
Brizalina.variabilis,hyaline,1
Buccella.granulata,hyaline,1
Bulimina.aculeata,hyaline,1
Bulimina.elongata,hyaline,1
Bulimina.gibba,hyaline,1
Bulimina.marginata,hyaline,1
Buliminella.elegantissima,hyaline,1
calcareous.undt,hyaline,1
Cassidulina.carinata,hyaline,1
Cassidulina.obtusa,hyaline,1
Cibicides.lobulatus,hyaline,1
Cibicides.sp.,hyaline,1
Cribroelphidium.sp..cf.excavatum.,hyaline,1
Cribroelphidium.sp.,hyaline,1
Cribroelphidium.magellanicum,hyaline,1
Cribroelphidium.oceanensis,hyaline,0
Cribroelphidium.cf.poeyanum,hyaline,1
Cribroelphidium.selseyense,hyaline,1
Cribroelphidium.williamsoni,hyaline,0
Elphidium.advenum,hyaline,1
Elphidium.crispum,hyaline,1
Elphidium.excavatum,hyaline,1
Elphidium.earlandi,hyaline,1
Elphidium.flexuosum,hyaline,1
Elphidium.gerthi,hyaline,1
Elphidium.incertum,hyaline,1
Elphidium.macellum,hyaline,1
Elphidium.margaritaceum,hyaline,1
Elphidium.sp.,hyaline,1
Epistominella.vitrea,hyaline,1
Favulina.melo,hyaline,1
Fissurina.lucida,hyaline,1
Fissurina.marginata,hyaline,1
Fissurina.sp.,hyaline,1
Fursenkoina.schreibersiana,hyaline,1
Gavelinopsis.praegeri,hyaline,1
Globobulimina.sp.,hyaline,1
Haynesina.depressula,hyaline,1
Haynesina.germanica,hyaline,0
Hopkinsina.pacifica,hyaline,1
Lagena.semistriata,hyaline,1
Lagena.sulcata,hyaline,1
Lagena.vulgaris,hyaline,1
Nonionella.opima,hyaline,1
Nonionella.sp,hyaline,1
Nonionoides.boeanum,hyaline,1
Nonionoides.turgida,hyaline,1
Planorbulina.mediterranensis,hyaline,1
Patellina.corrugata,hyaline,1
Rectuvigerina.compressa,hyaline,1
Reussella.aculeata,hyaline,1
Reussoolina.laevis,hyaline,1
Rosalina.anomala,hyaline,1
Rosalina.globularis,hyaline,1
Rosalina.irregularis,hyaline,1
Rosalina.valvulata,hyaline,1
Rosalina.williamsoni,hyaline,1
Rosalina.sp.1,hyaline,1
Rosalina.sp.2,hyaline,1
Spirillina.vivipara,hyaline,1
Svratkina.sp.,hyaline,1
Tretomphaloides.concinnus,hyaline,1
Trichohyalus.aguayoi,hyaline,1
Trifarina.angulosa,hyaline,1
Uvigerina.sp.,hyaline,1
Uvigerina.peregrina,hyaline,1
Valvulineria.bradyana,hyaline,1
Planktic,hyaline,1