code,spp
ADLAE,Adelosina laevigata
AMBAL,Ammobaculites balkwilli
cAMARE,Ammobaculites cf. arenaria
AMSP1,Ammobaculites sp.1
AMBEagg,Ammonia beccarii agg
AMMSP1,Ammosphaeroidina sp.1
AMSPH,Ammosphaeroidina sphaeroidiniforme
cATSAL,Ammotium cf. salsum
AMSCA,Amphicoryna scalaris
ARMEX,Arenoparella mexicana
ASMAM,Asterigerinata mamilla
ASSP1,Asterigerinata sp.1
AUPER,Aubignyna perlucida
BODIL,Bolivina dilatata
BOPSE,Bolivina pseudoplicata
BOSTR,Bolivina striatula
BOSUB,Bolivina subaenariensis
BLPSE,Bolivinellina pseudopunctata
cBRAEN,Brizalina cf. aenariensis
BRSPA,Brizalina spathulata
BRVAR,Brizalina variabils
BCGRA,Buccella granulata
BUACU,Bulimina aculeata
BUELO,Bulimina elongata
BUGIB,Bulimina gibba
BUMAR,Bulimina marginata
BUSP1,Bulimina sp. 1
BMELE,Buliminella elegantissima
CAAUR,Cancris auricula
cCACRA,Cassidulina cf. crassa
CALAE,Cassidulina laevigata
CIBRA,Cibicidoides bradyi
CILOB,Cibicides lobatulus
CLOBS,Clavulina obscura
COINC,Cornuspira incerta
CYINV,Cornuspira involvens
CREXC,Cribrolphidium excavatum
CRMAG,Cribroelphidium magellanicum
CROCE,Cribroelphidium oceanensis
CRSEL,Cribroelphidium selseyensis
CRSP1,Cribroelphidium sp.1
CRWIL,Cribroelphidium williamsoni
DECOM,Delosina complexa
EGADV,Eggerella advena
EGSCA,Eggerelloides scaber
ELADV,Elphidium advenum
cELERL,Elphidium cf. earlandi
cCRPOE,Cribroelphidium cf. poeyanum
cELFLE,Elphidium cf. flexuosum
cELSMI,Elphidium cf. schmitti
ELCRI,Elphidium crispum
ELINC,Elphidium incertum
ELLID,Elphidium lidoense
ELMAR,Elphidium margaritaceum
ELMAT,Elphidium matagordanum
ELSP1,Elphidium sp.1
ELSP2,Elphidium sp.2
EPVIT,Epistominella vitrea
FILUC,Fissurina lucida
FISP1,Fissurina sp.1
cFUFUS,Fursenkoina cf. fusiformis
cFUCOM,Fursenkoina cf. complanata
FUSCH,Fursenkoina schreibersiana
FSP1,Fursenkoina sp.1
cGARUD,Gaudryina cf. rudis
GAPRA,Gavelinopsis praegeri
HASP1,Haplophragmoides sp.1
HACAN,Haplophragmoides canariensis
HAWIL,Haplophragmoides wilberti
cHAGER,Haynesina cf. germanica
HADEP,Haynesina depressula
HAGER,Haynesina germanica
HOPAC,Hopkinsina pacifica
JAMAC,Jadammina macrescens
cLASEM,Lagena cf. semistriata
LASUB,Lagena substriata
LASUL,Lagena sulcata
LATEN,Lagena tenuis
LAVUL,Lagena vulgaris
LADIF,Lagenammina difflugiformis
LALAG,Lagenammina laguncula
LESCO,Leptohalysis scottii
MASEC,Massilina secans
MEPOM,Melonis pompilioides
MUFUS,Miliammina fusca
MIUND,Miliolid undeterminated
NODEN,Nodulina dentaliniformis
NOAST,Nonion asterizans
NOLAE,Nonion laevigatum
NOATL,Nonionella atlantica
NOOPI,Nonionella opima
cNOJAP,Nonionoides cf. japonicum
NOSCA,Nonionoides scaphus
NOPOL,Nouria polymorphides
PACOR,Patellina corrugata
PLMED,Planorbulina mediterranensis
POLAT,Poroeponides lateralis
PRCLA,Procerolagena clavata
PSBOW,Psammosphaera bowmani
PYINO,Pyrgo inornata
QUDEP,Quinqueloculina depressa
QUJUG,Quinqueloculina jugosa
QULAT,Quinqueloculina lata
QULON,Quinqueloculina longirostra
QUOBL,Quinqueloculina oblonga
QURUG,Quinqueloculina rugosa
QUSEM,Quinqueloculina seminula
QUSP1,Quinqueloculina sp.1
QUSTE,Quinqueloculina stelligera
cRECOM,Rectuvigerina cf. compressa
cREFUS,Reophax cf. fusiformis
RECYL,Reophax cylindrica
REMON,Reophax moniliformis
RENAN,Reophax nana
RESCO,Reophax scorpiurus
RESUB,Reophax subfusiformis
REACU,Reussella aculeata
ROARC,Robertina arctica
ROANO,Rosalina anomala
ROBUL,Rosalina bulbosa
cROMED,Rosalina cf. mediterranensis
cROVAL,Rosalina cf. valvulata
ROGLO,Rosalina globularis
ROIRR,Rosalina irregularis
SAATL,Saccammina atlantica
SVSP1,Svratkina sp.1
TEBOC,Textularia bocki
TECAL,Textularia calva
TETEN,Textularia tenuissima
TESP1,Textularia sp.1
TEXUN,Texturalid undetermined
TRCON,Tretomphalus concinnus
TRAGU,Trichohyalus aguayoi
TRANG,Trifarina angulosa
TRDUB,Triloculina dubia
TRMAR,Triloculina marioni
TRROT,Triloculina rotunda
TRSP1,Triloculina sp.1
TRINF,Trochammina inflata
cTRADV,Trochammina cf. advena
TRLOB,Trochammina lobata
UVSP1,Uvigerina sp.1
VABRA,Valvulineria bradyana
INDET,Unidentified forms