Sample,Site,Habitat,Period,Water depth,Sand,Salinity,OM,T,pH,DO,PO43–-P,NH4+-N,NO2–-N,NO3–-N,SiO44–-Si,Chl-a,PO43–-P
,,,,m,%,ppt,%,ºC,,%,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L,µg/L
1M-1,South bay,marine,APR67',6,20,38.9,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-2,South bay,marine,JUL68',6,25,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-3,South bay,marine,JUL68',8,8,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-4,South bay,marine,JUL68',3.5,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-5,South bay,marine,AUG67',4.5,49,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-6,South bay,marine,AUG67',5,47,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-7,South bay,marine,AUG67',5,21,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-8,South bay,marine,AUG67',6,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-9,South bay,marine,APR67',6,11,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-10,South bay,marine,AUG67',6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-11,South bay,marine,APR67',6,11,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-12,South bay,marine,APR67',6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-13,South bay,marine,APR67',6,11,38.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-14,South bay,marine,AUG67',4.5,43,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-15,South bay,marine,AUG67',5,8,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-16,South bay,marine,AUG67',5,8,38.4,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-17,South bay,marine,AUG67',6,9,38.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-18,South bay,marine,APR67',5,5,38.4,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-19,South bay,marine,AUG67',5.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-20,South bay,marine,APR67',5,10,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-21,South bay,marine,JUL68',2.5,59,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-22,South bay,marine,JUL68',3,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-23,South bay,marine,JUL68',3,39,NA,NA,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-24,South bay,marine,JUL68',3.5,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1M-25,South bay,marine,JUL68',3.5,70,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-26,Las Casas,marine,APR67',11,5,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-27,Las Casas,marine,APR67',9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-28,Las Casas,marine,APR67',8,7,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-29,Las Casas,marine,APR67',6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-30,Las Casas,marine,APR67',5,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-31,Las Casas,marine,APR67',9,4,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-32,Las Casas,marine,APR67',8.5,4,38.9,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
2M-33,Las Casas,marine,APR67',7,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-34,Vinaroz,marine,AUG67',8,69,39.3,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-35,Vinaroz,marine,APR67',5,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-36,Vinaroz,marine,APR67',8,16,39.4,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-37,Vinaroz,marine,AUG67',9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-38,Vinaroz,marine,APR67',15,2,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-39,Vinaroz,marine,APR67',14,6,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-40,Vinaroz,marine,APR67',14.6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-41,Vinaroz,marine,AUG67',14,4,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-42,Vinaroz,marine,AUG67',13.5,5,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-43,Vinaroz,marine,AUG67',11.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3M-44,Vinaroz,marine,APR67',11,46,37.9,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-45,South faro,marine,APR67',4.5,96,38.4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-46,South faro,marine,APR67',10,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-47,South faro,marine,AUG67',10.5,96,37.9,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-48,South faro,marine,AUG67',5,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-49,South faro,marine,JUL68',5,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-50,South faro,marine,APR67',18,13,39.2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-51,South faro,marine,APR67',27,4,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-52,South faro,marine,APR67',33,1,38.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-53,South faro,marine,APR67',38,2,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-54,South faro,marine,APR67',43,1,38.8,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-55,South faro,marine,JUL68',34.5,2,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-56,South faro,marine,APR67',28,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-57,South faro,marine,AUG67',22,7,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4M-58,South faro,marine,AUG67',17,20,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-59,Salinas,marine,APR67',14,43,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-60,Salinas,marine,APR67',14,90,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-61,Salinas,marine,APR67',10,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-62,Salinas,marine,AUG67',14.5,77,38.8,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-63,Salinas,marine,AUG67',8,96,37.5,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-64,Salinas,marine,AUG67',6,30,38.6,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-65,Salinas,marine,JUL68',12,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-66,Salinas,marine,AUG67',10.5,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-67,Salinas,marine,JUL68',5,96,38.8,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-68,Salinas,marine,APR67',39.5,2,39.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-69,Salinas,marine,APR67',33.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-70,Salinas,marine,AUG67',28,3,39.7,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-71,Salinas,marine,AUG67',19,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5M-72,Salinas,marine,JUL68',10,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-73,South platform,marine,AUG67',4.5,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-74,South platform,marine,AUG67',8,76,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-75,South platform,marine,APR67',10,82,37.7,NA,21.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-76,South platform,marine,APR67',17.5,68,38.9,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-77,South platform,marine,APR67',12,6,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-78,South platform,marine,AUG67',12,22,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-79,South platform,marine,APR67',34.5,2,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-80,South platform,marine,AUG67',12,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-81,South platform,marine,AUG67',13,18,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-82,South platform,marine,APR67',17.5,5,38,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-83,South platform,marine,AUG67',16,3,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
6M-84,South platform,marine,APR67',14,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7M-85,South channel,marine,AUG67',5,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7M-86,South channel,marine,AUG67',8,91,38,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
7M-87,South channel,marine,APR67',11.5,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7M-88,South channel,marine,AUG67',8,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7M-89,South channel,marine,APR67',27,5,38.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7M-90,South channel,marine,APR67',18.5,14,37.3,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
7M-91,South channel,marine,AUG67',50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8M-92,Cabo Tortosa,marine,AUG67',5,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8M-93,Cabo Tortosa,marine,AUG67',8,27,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
8M-94,Cabo Tortosa,marine,AUG67',12.5,10,38.3,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-95,River Mouth,marine,APR67',51.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-96,River Mouth,marine,APR67',33.5,4,38.8,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-97,River Mouth,marine,APR67',22,6,38.8,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-98,River Mouth,marine,AUG67',46,1,38.6,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-99,River Mouth,marine,AUG67',31.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-100,River Mouth,marine,AUG67',20,2,38.5,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-101,River Mouth,marine,AUG67',14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-102,River Mouth,marine,AUG67',10,2,38.5,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-103,River Mouth,marine,AUG67',7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9M-104,River Mouth,marine,AUG67',23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10M-105,North platform,marine,JUL68',13.5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10M-106,North platform,marine,APR67',5.5,26,38.1,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
10M-107,North platform,marine,JUL68',11,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10M-108,North platform,marine,AUG67',5.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10M-109,North platform,marine,JUL68',11.5,92,38.2,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
10M-110,North platform,marine,JUL68',33.5,4,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
10M-111,North platform,marine,JUL68',20,71,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11M-112,North faro,marine,JUL68',11,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11M-113,North faro,marine,JUL68',6,23,38.7,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
11M-114,North faro,marine,JUL68',3,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11M-115,North faro,marine,AUG67',14.5,81,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
36D-116,Encanyissada ,Lagoon,JUL68',1,22,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36D-117,Encanyissada ,Lagoon,JUL68',1.5,60,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
36D-118,Encanyissada ,Lagoon,JUL68',2,7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36D-119,Encanyissada ,Lagoon,JUL68',1.5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36D-120,Encanyissada ,Lagoon,JUL68',1,13,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36D-121,Encanyissada ,Lagoon,JUL68',0.8,13,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12D-122,Alfacs,Inner bay,NOV12',0.46,69.28,31.3,1.1,13.23,7.97,8.12,24.41,5.29,6.37,38.36,525.48,1.13,1.12
12D-123,Alfacs,Inner bay,APR13',0.4,69.28,36.11,1.1,18.37,8.04,7.86,5.23,101.31,14.03,31.02,502.51,1.99,1.35
12D-124,Alfacs,Inner bay,AUG13',0.4,69.28,31.34,1.1,23.93,8.26,5.58,14.12,23.45,2.52,12.9,854.5,4.97,2.4
13D-125,Alfacs,Salicornia,NOV12',0.14,4.96,28.95,5.95,13,7.86,7.78,24.9,10.7,7.98,43.08,482.26,1.14,1.62
13D-126,Alfacs,Salicornia,APR13',0.1,4.96,37.01,5.95,20.57,7.94,10.37,6.5,95.75,8.03,12.89,365.08,6.53,2.84
13D-127,Alfacs,Salicornia,AUG13',0.06,4.96,33.43,5.95,22.67,8.12,9.62,17.13,14.12,0.77,6.23,617.6,8.34,1.52
14D-128,Alfacs,Nearshore,APR13',7.4,18.51,37.75,4.94,15.31,8.01,7.76,5.02,4.75,3.36,16.26,49.46,3.98,1.4
14D-129,Alfacs,Nearshore,AUG13',7,18.51,38.11,4.94,25.19,7.96,5.39,6.72,29.09,1.58,19.37,164.36,1.62,0.83
15D-130,Aufacada,Lagoon,NOV12',0.56,89.77,16.63,3.7,16.73,7.75,8.66,24.22,2.51,16.88,91.83,1783.37,9.7,3.27
15D-131,Aufacada,Lagoon,APR13',0.54,89.77,10.23,3.7,16.82,7.94,6.81,4.03,13.04,3.96,13.4,1791.57,8.2,2.74
15D-132,Aufacada,Lagoon,AUG13',0.47,89.77,4.26,3.7,25.7,8.66,8.53,11.68,20.77,1.48,22.69,2020.47,2.76,1.64
16D-133,Aufacada,Salicornia,NOV12',0.04,58.77,22.46,2.84,13.2,7.37,1.9,17.56,26.54,0.48,57.93,2415.77,2.24,1.41
16D-134,Aufacada,Salicornia,APR13',0.08,58.77,20,2.84,19.79,7.34,3,6.47,49.33,2.49,10.18,1595.14,3.02,2.02
16D-135,Aufacada,Salicornia,AUG13',0.2,58.77,20.34,2.84,23.18,7.68,4.23,25.37,35.04,2.12,8.28,6540.55,23.12,5.64
17D-136,Aufacada,Juncus,NOV12',0.1,77.45,18.09,3.84,12.7,7.07,2.51,16.82,3.36,1.6,23.77,1334.03,5.21,5.69
17D-137,Aufacada,Juncus,APR13',0.15,77.45,11.71,3.84,18.89,7.41,6.46,17.44,25.56,5.22,2.31,202.72,13.97,7.85
17D-138,Aufacada,Juncus,AUG13',0.1,77.45,12.91,3.84,23.27,7.87,6.49,2.48,29.27,1.79,21.11,4712.35,1.62,1.18
18D-139,Aufacada,Phragmites,NOV12',0.3,25,14.85,36.7,15.79,7.27,4.34,27.04,4.99,11.82,108.62,1445.9,3.11,1.68
18D-140,Aufacada,Phragmites,APR13',0.1,25,10.46,36.7,14.59,7.13,3.89,17.19,12.49,3.85,18.56,2797.6,39.43,7.52
18D-141,Aufacada,Phragmites,AUG13',0.15,25,10.62,36.7,25.81,7.95,0.71,5.45,67.11,6.47,16.02,4429.28,37.79,-0.1
19D-142,Banya,Microbial mat,NOV12',0.01,76.3,31.14,5.8,15.06,8,7.1,27.13,30.83,3.18,38.7,619.45,9.18,2.01
19D-143,Banya,Microbial mat,APR13',0.05,76.3,74.63,5.8,27.71,8.04,5.91,46.89,33.08,3.99,2.47,302.2,2.7,1.19
19D-144,Banya,Microbial mat,AUG13',0.02,76.3,51.48,5.8,24.71,9.07,13.57,14.43,30.39,1.47,7.49,626.05,0.94,0.49
20D-145,Clot,Lagoon,NOV12',0.55,45.63,1.81,26.62,16.87,7.82,7.21,48.2,149.98,15.09,642.73,1613.01,4.92,4.42
21D-146,Encanyissada,Lagoon,NOV12',0.77,78.21,8.48,0.89,14.15,8.35,11.36,40.2,59.33,0.64,184.52,1368.16,55.12,-7.05
21D-147,Encanyissada,Lagoon,APR13',0.6,78.21,29.45,0.89,19.49,7.58,6.54,9.91,42.4,5.63,24.26,686.86,2.76,1.93
21D-148,Encanyissada,Lagoon,APR13',0.4,72.59,31.88,0.89,20.21,7.88,5.6,6.94,29.82,1.01,7.56,421.48,0.82,1.5
21D-149,Encanyissada,Lagoon,AUG13',0.45,78.21,10.45,0.89,27.24,8.23,6.63,45.41,16.47,1.61,0.59,1949.98,3.57,1.48
22D-150,Encanyissada,Salicornia,NOV12',0.31,61.21,7.35,56.63,14.22,7.16,1.81,106.02,108.43,2.16,67.57,1965.54,20.57,6.03
22D-151,Encanyissada,Salicornia,APR13',0.1,61.21,26.92,56.63,20.76,7.61,7.69,26.51,21.49,3.07,4.8,242.52,14.2,3.31
22D-152,Encanyissada,Salicornia,AUG13',0.15,61.21,14.45,56.63,29.26,8.43,11.11,22.95,39.7,3.07,36.64,4901.76,61.26,4.29
23D-153,Encanyissada,Juncus,NOV12',0.4,73.88,7.8,66.29,15.18,6.96,0.67,84.87,17.37,2.61,34.09,1468.82,24.42,0.46
23D-154,Encanyissada,Juncus,APR13',0.1,73.88,20.41,66.29,22.81,7.78,11.22,6.35,31.08,12.37,53.93,2200.22,9.31,2.87
23D-155,Encanyissada,Juncus,AUG13',0.08,73.88,42.32,66.29,28.4,7.92,12.27,28.65,20.04,3.33,15.66,2411.93,42.44,6.28
24D-156,Encanyissada,Phragmites,NOV12',0.19,7.17,2.22,96.99,16.41,7.9,8.08,45.56,18.38,9.44,659.21,2046.03,5.73,5.05
24D-157,Encanyissada,Phragmites,APR13',0.1,7.17,26.08,96.99,24.49,7.67,12.22,32.15,28.21,2.1,5.64,1474.43,10.1,2.3
24D-158,Encanyissada,Phragmites,AUG13',0.2,7.17,20.23,96.99,27.18,8.07,3.31,27.88,23.91,4.16,18.28,13198.19,49.64,21.81
25D-159,Fangar,Inner bay,NOV12',0.2,92.25,11.59,1.83,17.09,8.02,8.93,22.61,25.69,37.22,38.15,474.25,2.37,5.17
25D-160,Fangar,Inner bay,APR13',0.2,92.25,39.17,1.83,25.67,8.3,7.21,6.1,21.08,1.54,9.36,187.25,2.38,1.15
25D-161,Fangar,Inner bay,AUG13',0.4,92.25,18.27,1.83,21.93,8.91,9.44,10.62,14.31,1.68,8.67,146.16,4.76,2.38
26D-162,Fangar,Salicornia,NOV12',0.16,80.5,18.71,46.79,17.11,7.24,0.63,224.4,2.96,2.68,87.95,671.72,2.38,4.14
26D-163,Fangar,Salicornia,APR13',0.16,80.5,38.98,46.79,27.87,7.84,5.53,9.66,100.71,6.56,10.73,666.08,4.84,4.19
26D-164,Fangar,Salicornia,AUG13',0.17,80.5,35.8,46.79,23.13,7.52,1.35,87.97,358.08,11.54,5.48,1969.58,3.05,1.37
27D-165,Garxal,Lagoon,NOV12',0.25,92.12,5.25,2.26,12.74,7.8,5.68,11.34,7.79,0.34,32.41,749.46,0.91,0.88
27D-166,Garxal,Lagoon,APR13',0.25,92.12,2.39,2.26,18.69,7.97,5.47,12.11,42.3,3.18,12.02,481.36,6.3,1.67
27D-167,Garxal,Lagoon,AUG13',0.3,92.12,8.9,2.26,26,8.9,10.29,10.04,28.17,1.48,5.99,3151.19,13.79,3.95
28D-168,Garxal,Salicornia,NOV12',0.08,92.34,17.24,3.15,15.4,8.4,7.64,21.93,11.57,0.69,84.64,990.52,8.88,0.91
28D-169,Garxal,Salicornia,APR13',0.1,92.34,10.39,3.15,23.98,8.5,8.48,11.65,24.79,2.4,2.55,293.21,10.03,3.05
29D-170,Garxal,Juncus,NOV12',0.07,93.96,6.59,3.86,13.83,7.68,7.64,43.95,85.65,20.76,1115.36,1642.72,5.77,2.76
29D-171,Garxal,Juncus,APR13',0.1,93.96,12.18,3.86,16.97,7.39,5.27,11.83,18.38,3.4,11.07,2254.42,15.8,2.21
29D-172,Garxal,Juncus,AUG13',0.11,93.96,11.83,3.86,26.36,7.26,4.97,99.43,18.6,1.96,3.21,2687.78,11.88,2
30D-173,Garxal,Phragmites,NOV12',0.14,65.8,4.93,39.81,13.09,8.09,6.41,14.56,65.64,0.29,57.93,871.46,2.3,2.07
30D-174,Garxal,Phragmites,APR13',0.15,65.8,1.97,39.81,21.7,8.16,9.4,14.4,19.29,2.21,81.11,297.43,7.7,2.39
30D-175,Garxal,Phragmites,AUG13',0.07,65.8,8.52,39.81,25.46,8.92,10.71,10.62,13.46,1.29,4.59,4679.33,12.03,7.99
31D-176,Olles,Lagoon,NOV12',0.72,26.75,0.73,5.61,13.65,7.77,8.3,32.18,122.76,25.9,1157.49,1108.68,2.57,2.24
31D-177,Olles,Lagoon,APR13',0.5,26.75,4.26,5.61,24.08,8.14,9.65,12.14,80.15,54.49,1233.69,2687.78,20.66,3.94
31D-178,Olles,Lagoon,AUG13',0.45,26.75,0.79,5.61,21.97,7.73,8.1,39.77,70.75,17.42,499.17,2477.7,47.78,7.94
32D-179,Olles,Phragmites,NOV12,0.25,37.58,0.74,40.55,13.03,7.41,6.02,20.32,12.7,0.9,25.87,1496.11,3.24,2.3
32D-180,Olles,Phragmites,AUG13',0.1,37.58,1.58,40.55,21.42,7.55,2.49,24.5,7.69,1.93,26.21,2375.75,12.19,2.84
33D-181,Tancada,Lagoon,NOV12',0.5,70.69,20.77,3.28,12.4,7.99,9.77,44.76,98.66,17.24,39.4,1058.8,6.37,1.04
33D-182,Tancada,Lagoon,APR13',0.6,70.69,35.03,3.28,17.66,7.65,5.97,8.73,147.66,14.52,27.47,356.77,1.36,3.82
33D-183,Tancada,Lagoon,APR13',0.3,8.64,35.22,3.28,17.44,7.53,5.38,9.14,131.61,9.48,16.32,457.37,10.18,4.43
33D-184,Tancada,Lagoon,AUG13',0.45,70.69,26.77,3.28,25.07,8,5.14,15.21,23.97,3.39,3.99,1158.53,3.87,2.09
34D-185,Tancada,Salicornia,NOV12',0.32,58.78,23.69,59.27,13.03,7.34,5.95,200.46,131.9,5.88,21.46,1532.43,30.9,13.76
34D-186,Tancada,Salicornia,NOV12',0.14,63.67,21.43,17.82,13.35,7.33,5.68,201.39,3.25,3.18,113.4,1285.53,46.2,12.61
34D-187,Tancada,salicornia,APR13',0.14,63.67,29.81,17.82,12.37,7.69,3.35,18.55,13.05,1.34,7.13,159.67,18,6.08
34D-188,Tancada,Salicornia,APR13',0.5,58.78,26.12,59.27,15.83,8,6.82,119.34,9.66,5.17,1.43,522.95,6.53,2.84
35D-189,Tancada,Phragmites,NOV12',0.08,31.89,17.5,27.19,13.74,7.15,3.72,179.15,14.24,1.62,43.38,1177.12,22.86,28.77
35D-190,Tancada,Phragmites,APR13',0.05,31.89,31.69,27.19,18.88,7.02,3.74,40.76,20.87,5.31,1.06,891.6,17.81,9.5
35D-191,Tancada,Phragmites,AUG13',0.15,31.89,11.76,27.19,22.53,7.55,3.76,5.23,164.64,3.42,1.05,1029.53,44.51,7.88