,,,,Dominants species,,>10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Secondary species,,1-10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,in red: samples with <100 tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Site,Habitat,Period,cAMARE,AMMSPH,cATSAL,CLOBS,EGADV,EGSCA,HACAN,JAMAC,LADIF,LALAG,LESCO,MIFUS,NODEN,NOPOL,cREFUS,RECYL,REMON,RENAN,RESCO,RESUB,SAATL,TECAL,TESP1,TETEN,cTRADV,TRINF,TRLOB,TRSP1,COINC,MASEC,PYINO,QUDEP,QULAE,QURUG,QUSTE,QUSEM,QUSP1,TRDUB,TRMAR,TRROT,MIUND,AMBEagg,AMSCA,ASMAM,ASSP1,AUPER,BOPSE,BLPSE,cBRAEN,BRSPA,BOSTR,BCHAN,BUACU,BUELO,BUGIB,BUMAR,BUSP1,BMELE,cCACRA,CALAE,CIBRA,CILOB,BCGRA,DECOM,ELADV,cELFLE,cELSMI,ELCRI,CREXC,ELINC,ELLID,ELMAT,CROCE,CRSEL,ELSP1,ELSP2,EPVIT,FILUC,FISP1,cFUCOM,FUSCH,FUSP1,GAPRA,cGYUMB,cHAGER,HAGER,HOPAC,cLASEM,LASUB,LASUL,LATEN,MEPOM,NOAST,HADEP,NOLAE,NOATL,NOOPI,cNOJAP,NOSCA,PACOR,PLMED,PLARI,POLAT,PRCLA,cRECOM,REACU,ROARC,ROBUL,TRCON,cROMED,cROVAL,ROGLO,TRANG,UVSP1,VABRA,PLANK,AMMSP1,AMSP1,AMBAL,ARMEX,HAWIL,HASP1,cPOSP1,RESP1,SASP1,TEBOC,cTECAL,TEXUN,TRAGU,ADLAE,MISUB,QUJUG,QULAT,QUOBL,SVSP1,BODIL,BRVAR,CAAUR,CAOBT,FIMAR,cFUFUS,CRSP1,CRWIL,cELERL,ELMAR,CRMAG,ELGER,cCRPOE,ROANO,ROIRR,INDET,Number of tests,Percent check
1M-7,South Bay,marine,AUG67',0.00,1.90,0.00,0.60,0.00,6.40,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,1.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,1.30,1.30,0.00,0.00,0.00,0.00,7.10,9.90,0.00,4.70,16.70,2.60,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.60,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,12.80,0.00,0.00,1.00,0.60,0.00,12.50,0.00,0.60,1.90,6.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.30,0.60,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
1M-9,South Bay,marine,APR67',0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,0.00,0.00,0.00,0.00,2.10,15.90,46.00,0.00,0.00,0.00,0.00,3.90,1.20,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,3.90,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,>300,100
1M-11,South Bay,marine,AUG67',0.00,0.00,0.00,0.00,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,7.70,0.00,0.00,0.00,0.00,2.40,33.60,21.70,0.00,0.00,0.00,2.00,0.80,4.10,0.00,0.00,3.40,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.40,0.80,0.00,0.80,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.40,0.00,0.00,0.00,0.80,0.80,0.80,1.60,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
1M-13,South Bay,marine,APR67',0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,22.60,0.00,0.00,0.00,0.00,0.80,0.00,16.70,0.30,0.40,0.00,0.80,1.50,5.60,0.00,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.40,0.80,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
1M-14,South Bay,marine,AUG67',0.00,1.20,0.00,0.00,0.40,8.80,0.80,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.00,0.00,0.00,0.00,0.00,1.80,0.30,0.80,0.00,0.00,0.00,0.40,6.40,0.00,0.00,1.60,0.00,4.00,0.00,5.20,0.00,0.80,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,2.00,0.00,1.20,2.80,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.40,0.00,0.80,0.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,21.90,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
1M-17,South Bay,marine,AUG67',0.00,0.00,0.00,0.00,0.00,7.30,1.10,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,1.10,0.00,0.00,0.00,0.00,18.50,6.50,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.60,0.00,0.00,6.70,0.00,6.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,1.10,0.00,0.00,1.10,0.00,0.60,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,2.20,0.00,0.00,0.00,2.80,1.10,0.00,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,6.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
1M-21,South Bay,marine,JUL68',0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,1.10,2.60,1.80,0.70,0.00,0.00,0.70,40.20,33.30,0.00,0.70,0.40,0.70,0.40,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,2.90,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,>300,100
1M-24,South Bay,marine,JUL68',0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.00,0.00,1.50,0.70,0.00,0.00,0.00,0.40,0.00,9.30,0.40,0.00,0.00,0.00,0.00,30.90,19.20,0.00,0.00,6.00,0.40,0.40,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.70,0.00,1.10,0.00,0.40,0.00,0.40,1.10,0.40,0.00,0.00,0.40,1.90,0.40,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,10.10,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,>300,100
2M-26,Las Casas,marine,APR67',0.00,0.70,0.00,0.70,0.00,4.00,2.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,1.10,0.00,0.00,0.00,0.00,20.50,12.40,0.00,3.60,3.60,1.10,0.00,1.10,0.00,0.00,1.10,0.00,0.40,1.80,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00,5.40,0.00,0.00,5.40,0.00,0.00,0.00,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.60,0.00,0.00,0.00,0.00,4.00,1.10,0.00,4.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
2M-28,Las Casas,marine,APR67',0.00,0.70,0.00,2.20,0.00,5.40,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.60,0.00,0.00,0.00,0.00,0.60,0.90,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,1.00,14.60,0.00,0.90,22.00,0.00,0.00,3.20,0.00,0.00,0.00,0.30,0.00,0.90,1.90,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,13.20,6.60,0.00,1.60,0.60,0.00,4.40,0.00,0.00,0.00,5.10,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.60,5.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
3M-35,Vinaroz,marine,APR67',0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,3.00,18.50,3.40,0.00,0.00,0.00,0.00,22.20,23.40,0.00,0.00,5.70,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,1.10,0.00,0.00,0.00,0.00,0.00,4.90,0.00,1.10,1.10,4.20,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.80,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
3M-36,Vinaroz,marine,APR67',0.00,0.00,0.00,0.30,0.00,1.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.60,0.00,0.00,0.00,0.00,15.50,6.10,0.00,0.00,30.00,1.30,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.00,0.00,0.30,0.00,0.00,0.60,0.00,1.60,0.00,1.60,0.30,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,5.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,>300,100
3M-38,Vinaroz,marine,APR67',0.00,4.20,0.00,0.40,0.00,1.80,1.10,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.70,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,0.00,0.00,0.00,0.00,20.00,2.00,0.00,1.80,0.70,3.30,0.40,2.60,0.00,0.00,1.50,0.00,1.10,1.10,1.50,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,2.80,0.00,2.20,0.00,0.00,7.30,0.00,0.00,4.40,5.80,0.70,0.00,0.00,0.70,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,4.50,0.70,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
3M-43,Vinaroz,marine,AUG67',0.00,0.00,0.00,0.40,0.40,2.00,0.80,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.80,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,1.20,2.40,0.00,0.00,0.00,0.00,12.70,10.10,0.00,2.80,10.80,0.80,0.00,3.20,0.00,0.00,0.00,0.00,0.80,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,2.80,0.00,1.20,0.00,0.00,8.80,0.00,0.40,0.40,6.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,0.00,0.00,0.40,0.00,0.00,0.40,0.00,0.00,0.40,0.00,0.00,8.00,1.20,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.40,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
4M-45,South faro,marine,APR67',0.00,0.00,0.00,0.80,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,41.70,2.00,0.00,0.00,0.00,0.00,17.70,9.20,0.00,0.00,9.10,0.00,0.00,2.40,0.00,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,2.00,0.80,0.00,0.40,0.00,0.00,0.00,0.00,1.20,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,>300,100
4M-47,South faro,marine,APR67',0.00,0.00,0.00,0.00,0.00,4.90,0.00,0.00,6.80,0.00,0.00,0.80,0.00,0.00,0.00,0.40,0.00,0.00,0.40,0.00,0.00,3.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.00,0.00,0.00,0.00,3.40,2.40,0.80,0.00,0.40,0.00,0.00,8.30,0.00,1.90,0.00,0.00,9.40,0.00,7.10,0.00,0.80,0.00,0.00,4.90,0.00,0.00,0.00,0.00,0.80,0.00,0.00,1.10,0.00,0.00,1.10,0.00,0.00,0.40,2.30,1.10,1.90,0.00,0.40,1.50,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,2.60,0.80,0.00,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.40,1.90,0.40,0.80,0.00,0.00,0.00,0.00,0.00,0.40,0.80,6.40,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
4M-48,South faro,marine,AUG67',0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,2.40,36.40,2.40,0.00,0.00,0.00,0.00,15.00,8.30,0.00,0.00,5.40,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,3.10,0.00,1.00,0.00,0.00,1.00,0.30,0.00,4.40,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.40,0.00,0.30,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,>300,100
