old,new,wall_type,habitat
Acervulina.inhaerens,Acervulina.inhaerens,hyaline,
Adelosina.bicornis,Adelosina.bicornis,porcellanous,
Adelosina.laevigata,Adelosina.laevigata,porcellanous,
Adelosina.mediterranensis,Adelosina.mediterranensis,porcellanous,
Adelosina.sp.,Adelosina.sp.,porcellanous,
Adelosina.striata,Adelosina.striata,porcellanous,
Ammobaculites.balkwilli,Ammobaculites.balkwilli,agglutinated,
Ammobaculites.cf..arenaria,Ammobaculites.cf.arenaria,agglutinated,
Ammobaculites.cf.arenaria,Ammobaculites.cf.arenaria,agglutinated,
Ammobaculites.sp.1,Ammobaculites.sp.1,agglutinated,
Ammonia.beccarii,Ammonia.beccarii,hyaline,CLIB
Ammonia.beccarii.agg,Ammonia.beccarii,hyaline,CLIB
Ammonia.tepida,Ammonia.tepida,hyaline,CLIB
Ammosphaeroidina.sp.1,Ammosphaeroidina.sp.1,agglutinated,
Ammotium.cf..salsum,Ammotium.cf.salsum,agglutinated,
AMMSPH,Ammosphaeroidina.sphaeroidiniforme,agglutinated,OFH
Amphicoryna.scalaris,Amphicoryna.scalaris,agglutinated,
Arenoparella.mexicana,Arenoparella.mexicana,hyaline,
Astacolus.crepidulus,Astacolus.crepidulus,hyaline,
Asterigerinata.mamilla,Asterigerinata.mamilla,hyaline,NOB
Asterigerinata.sp.1,Asterigerinata.sp.1,hyaline,
Aubignyna.hamblensis,Aubignyna.hamblensis,hyaline,
Aubignyna.perlucida,Aubignyna.perlucida,hyaline,
BCHAN,Unidentified.forms,Unidentified.forms,
Bolivina.alata,Bolivina.alata,hyaline,
Bolivina.difformis,Bolivina.difformis,hyaline,
Bolivina.dilatata,Bolivina.dilatata,hyaline,
Bolivina.pseudoplicata,Bolivina.pseudoplicata,hyaline,NOB
Bolivina.striatula,Bolivina.striatula,hyaline,
Bolivinellina.pseudopunctata,Bolivinellina.pseudopunctata,hyaline,OFH
Brizalina.cf..aenariensis,Brizalina.iraensis,hyaline,
Brizalina.iraensis,Brizalina.iraensis,hyaline,
Brizalina.spathulata,Brizalina.spathulata,hyaline,
Brizalina.variabilis,Brizalina.variabilis,hyaline,
Brizalina.variabils,Brizalina.variabilis,hyaline,
Buccella.granulata,Buccella.granulata,hyaline,
Bulimina.aculeata,Bulimina.aculeata,hyaline,OFH
Bulimina.elongata,Bulimina.elongata,hyaline,
Bulimina.gibba,Bulimina.gibba,hyaline,OFH
Bulimina.marginata,Bulimina.marginata,hyaline,
Bulimina.sp..1,Bulimina.sp.1,hyaline,
Buliminella.elegantissima,Buliminella.elegantissima,hyaline,NOB
calcareous.undt,calcareous.undt,hyaline,
Cancris.auricula,Cancris.auricula,hyaline,
CAOBT,Unidentified.forms,hyaline,
Cassidulina.carinata,Cassidulina.carinata,hyaline,
Cassidulina.cf..crassa,Cassidulina.cf.crassa,hyaline,
Cassidulina.laevigata,Cassidulina.laevigata,hyaline,OFH
Cassidulina.obtusa,Cassidulina.obtusa,hyaline,
cGYUMB,Unidentified.forms,hyaline,
Cibicides.lobatulus,Cibicides.lobatulus,hyaline,
Cibicides.lobulatus,Cibicides.lobatulus,hyaline,
Cibicides.sp.,Cibicides.sp.,hyaline,
Cibicidoides.bradyi,Cibicidoides.bradyi,hyaline,
Clavulina.obscura,Clavulina.obscura,hyaline,
Cornuloculina.sp.,Cornuloculina.sp.,hyaline,
Cornuspira.incerta,Cornuspira.incerta,hyaline,
Cornuspira.involvens,Cornuspira.involvens,hyaline,
cPOSP1,Unidentified.forms,hyaline,
Cribroelphidium.cf..poeyanum,Cribroelphidium.cf.poeyanum,hyaline,
Cribroelphidium.cf.poeyanum,Cribroelphidium.cf.poeyanum,hyaline,
Cribroelphidium.excavatum,Cribroelphidium.excavatum,hyaline,
Cribroelphidium.magellanicum,Cribroelphidium.magellanicum,hyaline,
Cribroelphidium.oceanensis,Cribroelphidium.oceanensis,hyaline,CLIB
Cribroelphidium.poeyanum,Cribroelphidium.poeyanum,hyaline,
Cribroelphidium.selseyense,Cribroelphidium.selseyensis,hyaline,OFH
Cribroelphidium.selseyensis,Cribroelphidium.selseyensis,hyaline,OFH
Cribroelphidium.sp.,Cribroelphidium.sp.,hyaline,
Cribroelphidium.sp..cf.excavatum.,Cribroelphidium.sp.cf.excavatum.,hyaline,
Cribroelphidium.sp.1,Cribroelphidium.sp.1,hyaline,
Cribroelphidium.williamsoni,Cribroelphidium.williamsoni,hyaline,
Cribrolphidium.excavatum,Cribrolphidium.excavatum,hyaline,
cTECAL,Textularia.cf.calva,agglutinated,
Delosina.complexa,Delosina.complexa,hyaline,
Discorbis.sp.,Discorbis.sp.,hyaline,
Eggerella.advena,Eggerella.advena,agglutinated,
Eggerelloides.scaber,Eggerelloides.scaber,agglutinated,OFH
ELGER,Elphidium.sp.,hyaline,
Elphidium.advenum,Elphidium.advenum,hyaline,OFH
Elphidium.cf..earlandi,Elphidium.cf.earlandi,hyaline,
Elphidium.cf..flexuosum,Elphidium.cf.flexuosum,hyaline,OFH
Elphidium.cf..schmitti,Elphidium.cf..schmitti,hyaline,
Elphidium.crispum,Elphidium.crispum,hyaline,OFH
Elphidium.earlandi,Elphidium.earlandi,hyaline,
Elphidium.excavatum,Elphidium.excavatum,hyaline,
Elphidium.flexuosum,Elphidium.flexuosum,hyaline,
Elphidium.gerthi,Elphidium.gerthi,hyaline,
Elphidium.incertum,Elphidium.incertum,hyaline,OFH
Elphidium.lidoense,Elphidium.lidoense,hyaline,
Elphidium.macellum,Elphidium.macellum,hyaline,
Elphidium.margaritaceum,Elphidium.margaritaceum,hyaline,
Elphidium.matagordanum,Elphidium.matagordanum,hyaline,OFH
Elphidium.sp.,Elphidium.sp.,hyaline,
Elphidium.sp.1,Elphidium.sp.1,hyaline,OFH
Elphidium.sp.2,Elphidium.sp.2,hyaline,OFH
Epistominella.vitrea,Epistominella.vitrea,hyaline,NOB
Favulina.melo,Favulina.melo,hyaline,
FIMAR,Fissurina.marginata,hyaline,
Fissurina.lucida,Fissurina.lucida,hyaline,
Fissurina.marginata,Fissurina.marginata,hyaline,
Fissurina.sp.,Fissurina.sp.,hyaline,
Fissurina.sp.1,Fissurina.sp.1,hyaline,
Fursenkoina.cf..complanata,Fursenkoina.cf..complanata,hyaline,
Fursenkoina.cf..fusiformis,Fursenkoina.cf..fusiformis,hyaline,
Fursenkoina.schreibersiana,Fursenkoina.schreibersiana,hyaline,
FUSP1,Fursenkonia.sp.1,hyaline,
Gavelinopsis.praegeri,Gavelinopsis.praegeri,hyaline,OFH
Globobulimina.sp.,Globobulimina.sp.,hyaline,
Gyroidina.sp.,Gyroidina.sp.,hyaline,
Haplophragmoides.canariensis,Haplophragmoides.canariensis,agglutinated,OFH
Haplophragmoides.sp.1,Haplophragmoides.sp.1,agglutinated,
Haplophragmoides.wilberti,Haplophragmoides.wilberti,agglutinated,SBM
Haynesina.cf..germanica,Haynesina.cf..germanica,hyaline,CLIB
Haynesina.depressula,Haynesina.depressula,hyaline,
Haynesina.germanica,Haynesina.germanica,hyaline,CLIB
Hopkinsina.pacifica,Hopkinsina.pacifica,hyaline,
Jadammina.macrescens,Jadammina.macrescens,agglutinated,SBM
Lachlanella.undulata,Lachlanella.undulata,hyaline,
Lagena.cf..semistriata,Lagena.cf..semistriata,hyaline,
Lagena.semistriata,Lagena.semistriata,hyaline,
Lagena.substriata,Lagena.semistriata,hyaline,
Lagena.sulcata,Lagena.sulcata,hyaline,
Lagena.tenuis,Lagena.tenuis,hyaline,
Lagena.vulgaris,Lagena.vulgaris,hyaline,
Lagenammina.difflugiformis,Lagenammina.difflugiformis,hyaline,
Lagenammina.laguncula,Lagenammina.laguncula,hyaline,
Leptohalysis.scottii,Leptohalysis.scottii,hyaline,
Massilina.secans,Massilina.secans,porcellanous,
Melonis.pompilioides,Melonis.pompilioides,hyaline,
MIFUS,Miliammina fusca,agglutinated,SBM
Miliolid.undeterminated,Miliolid.undetermined,porcellanous,NOB
Miliolid.undetermined,Miliolid.undetermined,porcellanous,NOB
Miliolinella.subrotunda,Miliolinella.subrotunda,porcellanous,
Miliolinella.webbiana,Miliolinella.webbiana,porcellanous,
MISUB,Miliolinella.subrotunda,porcellanous,
Nodulina.dentaliniformis,Nodulina.dentaliniformis,agglutinated,
Nonion.asterizans,Nonion.asterizans,hyaline,
Nonion.laevigatum,Nonion.laevigatum,hyaline,NOB
Nonionella.atlantica,Nonionella.atlantica,hyaline,NOB
Nonionella.opima,Nonionella.opima,hyaline,
Nonionella.sp,Nonionella.sp,hyaline,
Nonionoides.boeanum,Nonionoides.boueanum,hyaline,
Nonionoides.boueanum,Nonionoides.boueanum,hyaline,
Nonionoides.cf..japonicum,Nonionoides.cf..japonicum,hyaline,
Nonionoides.scaphus,Nonionoides.scaphus,hyaline,OFH
Nonionoides.turgida,Nonionoides.turgida,hyaline,
Nouria.polymorphides,Nouria.polymorphides,hyaline,
Patellina.corrugata,Patellina.corrugata,hyaline,
PLANK,Planktic,hyaline,
Planktic,Planktic,hyaline,
Planorbulina.mediterranensis,Planorbulina.mediterranensis,hyaline,OFH
PLARI,Planorbulina.mediterranensis,hyaline,
Poroeponides.lateralis,Poroeponides.lateralis,hyaline,
Procerolagena.clavata,Procerolagena.clavata,hyaline,
Pyrgo.inornata,Pyrgo.inornata,hyaline,
Pyrgo.sp.,Pyrgo.sp.,hyaline,
Quinqueloculina.berthelotiana,Quinqueloculina.berthelotiana,porcellanous,
Quinqueloculina.depressa,Quinqueloculina.depressa,porcellanous,
Quinqueloculina.jugosa,Quinqueloculina.jugosa,porcellanous,CLIB
Quinqueloculina.lata,Quinqueloculina.lata,porcellanous,
Quinqueloculina.longirostra,Quinqueloculina.longirostra,porcellanous,
Quinqueloculina.oblonga,Quinqueloculina.oblonga,porcellanous,
Quinqueloculina.rugosa,Quinqueloculina.rugosa,porcellanous,
Quinqueloculina.seminula,Quinqueloculina.seminula,porcellanous,CLIB
Quinqueloculina.sp.1,Quinqueloculina.sp.1,porcellanous,
Quinqueloculina.sp.2,Quinqueloculina.sp.2,porcellanous,
Quinqueloculina.stelligera,Quinqueloculina.stelligera,porcellanous,NOB
Quinqueloculina.vulgaris,Quinqueloculina.vulgaris,porcellanous,
QULAE,Quinqueloculina.laevigata,porcellanous,
Rectuvigerina.cf..compressa,Rectuvigerina.cf..compressa,hyaline,
Rectuvigerina.compressa,Rectuvigerina.compressa,hyaline,
Reophax.cf..fusiformis,Reophax.cf..fusiformis,agglutinated,
Reophax.cylindrica,Reophax.cylindrica,agglutinated,
Reophax.moniliformis,Reophax.moniliformis,agglutinated,
Reophax.nana,Reophax.nana,agglutinated,
Reophax.scorpiurus,Reophax.scorpiurus,agglutinated,
Reophax.subfusiformis,Reophax.subfusiformis,agglutinated,OFH
RESP1,Reusella.sp.1,hyaline,
Reussella.aculeata,Reussella.aculeata,hyaline,OFH
Reussoolina.laevis,Reussoolina.laevis,hyaline,
Robertina.arctica,Robertina.arctica,hyaline,
Rosalina.anomala,Rosalina.anomala,hyaline,
Rosalina.bulbosa,Rosalina.bulbosa,hyaline,
Rosalina.cf..mediterranensis,Rosalina.cf..mediterranensis,hyaline,
Rosalina.cf..valvulata,Rosalina.cf..valvulata,hyaline,
Rosalina.concinna,Rosalina.concinna,hyaline,
Rosalina.globularis,Rosalina.globularis,hyaline,
Rosalina.irregularis,Rosalina.irregularis,hyaline,
Rosalina.sp.1,Rosalina.sp.1,hyaline,
Rosalina.sp.2,Rosalina.sp.2,hyaline,
Rosalina.valvulata,Rosalina.valvulata,hyaline,
Rosalina.williamsoni,Rosalina.williamsoni,hyaline,
Saccammina.atlantica,Saccammina.atlantica,agglutinated,
SASP1,Saccammina.sp.1,agglutinated,
Siphonaperta.quadrata,Siphonaperta.quadrata,porcellanous,
Spirillina.vivipara,Spirillina.vivipara,porcellanous,
Spiroloculina.canaliculata,Spiroloculina.canaliculata,hyaline,
Svratkina.sp.,Svratkina.sp.,hyaline,
Svratkina.sp.1,Svratkina.sp.,hyaline,
Textularia.agglutinans,Textularia.agglutinans,agglutinated,
Textularia.bocki,Textularia.bocki,agglutinated,
Textularia.calva,Textularia.calva,agglutinated,OFH
Textularia.sp.,Textularia.sp.,agglutinated,
Textularia.sp.1,Textularia.sp.,agglutinated,
Textularia.tenuissima,Textularia.tenuissima,agglutinated,
Texturalid.undetermined,Texturalid.undetermined,agglutinated,
Tretomphaloides.concinnus,Tretomphaloides.concinnus,hyaline,
Tretomphalus.concinnus,Tretomphalus.concinnus,hyaline,
Trichohyalus.aguayoi,Trichohyalus.aguayoi,hyaline,SBM
Trifarina.angulosa,Trifarina.angulosa,hyaline,
Triloculina.dubia,Triloculina.dubia,porcellanous,
Triloculina.marioni,Triloculina.marioni,porcellanous,
Triloculina.rotunda,Triloculina.rotunda,porcellanous,
Triloculina.sp,Triloculina.sp,porcellanous,NOB
Triloculina.sp.1,Triloculina.sp,porcellanous,NOB
Triloculina.trigonula,Triloculina.trigonula,porcellanous,
Trochammina.cf..advena,Trochammina.cf..advena,agglutinated,
Trochammina.inflata,Trochammina.inflata,agglutinated,SBM
Trochammina.lobata,Trochammina.lobata,agglutinated,
Unidentified.forms,Unidentified.forms,Unidentified.forms,
Uvigerina.peregrina,Uvigerina.peregrina,hyaline,
Uvigerina.sp.,Uvigerina.sp,hyaline,OFH
Uvigerina.sp.1,Uvigerina.sp.,hyaline,OFH
Valvulineria.bradyana,Valvulineria.bradyana,hyaline,OFH
Cribroelphidium.sp.cf.excavatum.,Cribroelphidium.sp.cf.excavatum,hyaline,